graph_name,motif,average_count,standard_deviation,z_score,significance_profile,nodes,edges,max_degree,avg_degree
14338082,1,13618.52,381.1308961,-10.38887175,-0.02042182666,215.0,3237.0,135.5,30.111627906976743
14338082,2,14565.04,377.7862579,-6.532900412,-0.01284198737,215.0,3237.0,135.5,30.111627906976743
14338082,3,22137.08,534.3655833,-27.42519439,-0.05391081723,215.0,3237.0,135.5,30.111627906976743
14338082,4,3148.76,249.3488654,40.09338476,0.07881319297,215.0,3237.0,135.5,30.111627906976743
14338082,5,2962.76,284.9674367,31.82553103,0.06256073747,215.0,3237.0,135.5,30.111627906976743
14338082,6,265.24,60.69340986,135.7438974,0.2668372861,215.0,3237.0,135.5,30.111627906976743
14338082,7,2982.24,149.1158051,-2.375603309,-0.0046698198,215.0,3237.0,135.5,30.111627906976743
14338082,8,594.76,43.85419022,-12.9693422,-0.02549436212,215.0,3237.0,135.5,30.111627906976743
14338082,9,235.04,25.70097274,66.02707286,0.1297920958,215.0,3237.0,135.5,30.111627906976743
14338082,10,218.6,28.6312766,44.58061782,0.08763392904,215.0,3237.0,135.5,30.111627906976743
14338082,11,354.32,40.85413076,6.503136771,0.01278347978,215.0,3237.0,135.5,30.111627906976743
14338082,12,77.0,17.8699002,136.2066924,0.267747021,215.0,3237.0,135.5,30.111627906976743
14338082,13,2.72,2.282542442,460.1360223,0.9045080462,215.0,3237.0,135.5,30.111627906976743
7861312,1,21836.2,618.0570362,-7.378283448,-0.00906880165,220.0,4740.0,78.5,43.09090909090909
7861312,2,22531.28,520.1963988,-3.045542037,-0.003743339063,220.0,4740.0,78.5,43.09090909090909
7861312,3,34880.64,789.4120111,-34.73425741,-0.04269259824,220.0,4740.0,78.5,43.09090909090909
7861312,4,6252.84,401.1821781,36.15105753,0.04443401673,220.0,4740.0,78.5,43.09090909090909
7861312,5,6123.96,395.0644968,39.82650966,0.04895159139,220.0,4740.0,78.5,43.09090909090909
7861312,6,571.4,77.99679481,168.0787016,0.2065890281,220.0,4740.0,78.5,43.09090909090909
7861312,7,6071.0,281.1423127,-4.929887595,-0.006059427382,220.0,4740.0,78.5,43.09090909090909
7861312,8,1244.44,54.19031279,-22.48446147,-0.02763611926,220.0,4740.0,78.5,43.09090909090909
7861312,9,609.68,35.82447953,98.07037105,0.1205403329,220.0,4740.0,78.5,43.09090909090909
7861312,10,604.4,45.66636253,78.03555621,0.09591512523,220.0,4740.0,78.5,43.09090909090909
7861312,11,946.4,51.93986908,-2.780137928,-0.003417125353,220.0,4740.0,78.5,43.09090909090909
7861312,12,255.72,40.57864792,125.5409005,0.154304932,220.0,4740.0,78.5,43.09090909090909
7861312,13,12.08,3.957271787,772.9870892,0.950094509,220.0,4740.0,78.5,43.09090909090909
14203895,1,13912.08,521.5726156,-14.33372799,-0.018085471,215.0,3640.0,85.0,33.86046511627907
14203895,2,14486.0,418.8333002,-11.96418718,-0.01509572111,215.0,3640.0,85.0,33.86046511627907
14203895,3,23931.76,804.0592474,-23.3101728,-0.02941143117,215.0,3640.0,85.0,33.86046511627907
14203895,4,4393.0,246.691778,38.00288796,0.04794985146,215.0,3640.0,85.0,33.86046511627907
14203895,5,4299.24,304.1488506,30.57963225,0.03858361568,215.0,3640.0,85.0,33.86046511627907
14203895,6,423.0,61.55146898,171.8886677,0.2168792039,215.0,3640.0,85.0,33.86046511627907
14203895,7,3636.2,230.4540807,-8.14999671,-0.01028319564,215.0,3640.0,85.0,33.86046511627907
14203895,8,808.56,73.44390149,-10.87306071,-0.01371900069,215.0,3640.0,85.0,33.86046511627907
14203895,9,405.28,33.2108416,55.36505283,0.06985642939,215.0,3640.0,85.0,33.86046511627907
14203895,10,408.16,41.64900959,44.89518522,0.0566461545,215.0,3640.0,85.0,33.86046511627907
14203895,11,659.44,51.02783554,-1.615588808,-0.002038456747,215.0,3640.0,85.0,33.86046511627907
